bayIDX,bayRecord,bayDate,bayTime,bayIn,bayOut,bayPassby,gtDate,gtTime,gtIns,gtOuts,gtPbN,gtPbF,gtLinger,gt_ll,gtMultiIn,gtMultiOut,gtMultiPb
0,209,1900-03-17,19:56:11,1,4,0,1900-03-17,19:56:17,2,3,0,0,0,0,0,0,0
1,209,1900-03-17,19:56:11,1,4,0,1900-03-17,19:56:17,3,2,0,0,0,0,0,0,0
2,209,1900-03-17,19:56:11,2,2,1,1900-03-17,19:56:17,0,0,0,0,0,0,0,0,0
3,210,1900-03-17,20:06:28,1,3,1,1900-03-17,20:05:58,2,3,0,0,0,0,0,0,0
4,210,1900-03-17,20:06:28,0,2,3,1900-03-17,20:05:58,1,1,0,1,0,0,1,0,0
5,217,1900-03-18,09:32:28,1,1,3,1900-03-18,09:33:35,2,1,1,2,0,0,0,0,0
6,217,1900-03-18,09:32:28,3,2,0,1900-03-18,09:33:35,1,0,0,4,0,0,0,0,0
7,217,1900-03-18,09:32:28,1,0,4,1900-03-18,09:33:35,0,0,0,0,0,0,0,0,0
8,218,1900-03-18,13:45:28,2,0,3,1900-03-18,13:45:08,2,0,1,2,0,0,0,0,0
9,218,1900-03-18,13:45:28,2,1,2,1900-03-18,13:45:08,1,2,0,1,2,0,0,0,0
10,218,1900-03-18,13:45:28,1,3,1,1900-03-18,13:45:08,0,0,0,0,0,0,0,0,0
11,219,1900-03-18,16:16:51,0,2,3,1900-03-18,16:34:05,0,1,0,3,0,0,0,0,0
12,219,1900-03-18,16:16:51,0,2,3,1900-03-18,16:34:05,1,1,0,3,0,0,0,0,0
13,219,1900-03-18,16:16:51,0,0,5,1900-03-18,16:34:05,0,0,0,0,0,0,0,0,0
14,220,1900-03-18,16:18:35,0,0,5,1900-03-18,16:34:05,0,0,0,0,0,0,0,0,0
15,364,1900-03-19,12:35:18,1,2,2,1900-03-19,12:35:15,1,2,0,3,0,0,0,0,0
16,364,1900-03-19,12:35:18,0,2,3,1900-03-19,12:35:15,1,0,0,4,0,0,0,0,0
17,365,1900-03-19,12:37:55,0,2,3,1900-03-19,12:39:03,1,0,0,1,0,0,0,0,0
18,368,1900-03-19,14:08:55,3,0,2,1900-03-19,14:08:52,1,0,0,3,1,1,0,0,0
19,368,1900-03-19,14:08:55,0,3,2,1900-03-19,14:08:52,1,2,0,0,3,2,0,0,0
20,368,1900-03-19,14:08:55,0,3,2,1900-03-19,14:08:52,0,0,0,0,0,0,0,0,0
