PktRec#,bsins,bsouts,bspbs,#Plausibles,#EventWindow,Extras,Misses,gtIns,gtOuts,gtPbnear,gtPbfar,gtlinger,gtll,gtmultiin,gtmultiout,gtmultipb
6,0,5,0,14,14,1,0,3,8,0,1,1,0,1,0,0
28,3,2,0,15,17,0,2,7,7,0,0,0,0,0,3,0
30,2,2,1,5,5,0,0,3,2,0,0,0,0,0,0,0
35,5,0,0,5,7,0,2,7,0,0,0,0,0,0,0,0
42,3,2,0,5,5,0,0,4,2,0,0,0,0,0,0,0
45,1,3,1,5,5,0,0,2,2,0,0,0,0,1,0,0
48,2,2,1,5,5,0,0,2,3,0,0,0,0,0,0,0
51,3,1,1,5,5,0,0,4,1,0,0,0,0,0,0,0
57,4,1,0,3,3,2,0,3,0,0,0,0,0,0,0,0
73,2,3,0,15,19,0,4,10,9,0,0,0,0,0,0,0
79,1,4,0,5,5,0,0,0,5,0,0,0,0,0,0,0
83,3,2,0,3,3,2,0,3,0,0,0,0,0,0,0,0
88,2,3,0,10,12,0,2,3,7,0,0,0,0,2,0,0
91,2,3,0,4,4,1,0,1,2,0,0,0,0,1,0,0
92,2,3,0,5,6,0,1,2,2,0,2,0,0,0,0,0
94,2,3,0,4,4,1,0,2,2,0,0,0,0,0,0,0
96,2,2,1,15,23,0,8,12,8,0,0,0,0,3,0,0
103,3,2,0,10,10,5,0,4,4,0,0,0,0,3,1,0
108,0,4,1,15,16,0,1,7,9,0,0,0,0,0,0,0
112,1,3,1,4,4,1,0,1,3,0,0,1,0,0,0,0
116,3,1,1,5,5,0,0,3,1,0,0,0,0,1,0,0
124,2,3,0,10,10,5,0,7,2,0,0,1,0,0,0,0
126,3,2,0,5,5,0,0,3,3,0,0,0,0,0,0,0
128,3,2,0,10,11,0,1,4,7,0,0,0,0,0,0,0
129,3,2,0,5,5,0,0,3,2,0,0,0,0,0,0,0
131,2,3,0,5,5,0,0,2,3,0,0,0,0,0,0,0
144,3,2,0,10,10,0,0,5,5,0,0,0,0,0,0,0
151,3,2,0,5,5,0,0,2,3,0,0,0,0,0,0,0
156,2,3,0,6,6,4,0,3,3,0,0,0,0,0,0,0
711,1,2,2,3,3,2,0,1,2,0,0,0,0,0,0,0
714,3,2,0,1,1,4,0,1,0,0,0,0,0,0,0,0
810,4,0,1,10,27,0,17,11,10,0,0,1,0,7,0,0
816,0,3,2,13,13,2,0,3,5,0,1,0,0,2,1,0
821,2,3,0,15,19,0,4,9,10,0,0,1,0,1,0,0
823,2,2,1,15,18,0,3,13,3,0,1,0,0,2,0,0
827,4,0,1,5,5,0,0,3,0,0,0,0,0,2,0,0
831,2,1,2,4,4,1,0,2,1,0,0,0,0,0,0,0
833,3,2,0,5,5,0,0,2,2,0,0,0,0,1,0,0
837,3,2,0,5,5,0,0,3,2,0,0,0,0,0,0,0
844,4,1,0,5,5,0,0,4,1,0,0,0,0,0,0,0
847,4,1,0,4,4,1,0,3,0,0,0,0,0,1,0,0
862,0,4,1,15,22,0,7,8,7,0,1,1,0,5,0,0
866,0,5,0,5,5,0,0,2,3,0,0,0,0,0,0,0
868,1,4,0,5,5,0,0,1,2,0,2,0,0,0,0,0
873,3,2,0,5,7,0,2,4,2,0,0,1,0,0,0,0
878,2,3,0,8,8,2,0,3,3,0,1,1,0,0,0,0
897,3,2,0,13,13,2,0,7,6,0,0,0,0,0,0,0
901,1,3,1,4,4,1,0,1,2,0,0,2,0,0,0,0
911,3,2,0,15,20,0,5,9,11,0,0,0,0,0,0,0
915,2,2,1,3,3,2,0,2,1,0,0,0,0,0,0,0
920,1,3,1,15,39,0,24,19,20,0,0,0,0,0,0,0
922,2,3,0,10,10,5,0,5,5,0,0,0,0,0,0,0
927,4,1,0,15,19,0,4,9,8,0,1,1,0,0,1,0
983,4,1,0,15,47,0,32,25,18,0,1,2,0,1,1,0
987,3,1,1,7,7,3,0,2,3,0,1,1,0,0,0,0
989,1,1,3,2,2,3,0,1,1,0,0,0,0,0,0,0
991,1,1,3,3,3,2,0,0,2,0,1,0,0,0,0,0
995,2,2,1,5,6,0,1,2,2,0,1,1,0,0,0,0
998,2,2,1,5,5,0,0,2,2,0,0,0,0,0,1,0
1003,4,1,0,5,6,0,1,4,2,0,0,0,0,0,0,0
1012,3,2,0,9,9,1,0,2,5,0,0,0,0,0,2,0
1014,5,0,0,5,5,0,0,4,0,0,0,0,0,0,1,0
1017,4,0,1,5,5,0,0,5,0,0,0,0,0,0,0,0
1022,3,1,1,5,5,0,0,2,2,0,0,0,0,0,1,0
1029,5,0,0,4,4,1,0,4,0,0,0,0,0,0,0,0
1060,3,1,1,15,25,0,10,12,10,0,0,1,0,0,2,0
1069,1,4,0,10,10,0,0,2,6,0,0,0,0,0,2,0
1077,2,2,1,10,12,0,2,5,4,0,0,0,0,1,2,0
1082,2,2,1,4,4,1,0,3,2,0,0,0,0,0,0,0
1086,4,1,0,5,9,0,4,6,2,0,1,0,0,0,0,0
1088,3,1,1,5,6,0,1,3,3,0,0,0,0,0,0,0
1092,5,0,0,5,5,0,0,5,0,0,0,0,0,0,0,0
1098,4,0,1,5,5,0,0,4,1,0,0,0,0,0,0,0
1102,1,4,0,3,3,2,0,0,3,0,0,0,0,0,0,0
1107,3,2,0,4,4,1,0,2,2,0,0,0,0,0,0,0
1129,1,3,1,15,22,0,7,9,11,0,0,0,0,0,2,0
1135,1,4,0,7,7,8,0,2,4,0,0,0,0,0,1,0
1136,3,2,0,5,5,0,0,2,2,0,0,0,0,1,0,0
1160,3,2,0,15,30,0,15,15,13,0,0,0,0,1,1,0
1164,2,2,1,4,4,1,0,2,2,0,0,0,0,0,0,0
