Doorway,Reviewer,Date,Event Time,Ins,Outs,Passby_near,Passby_far,Linger,Multi(IN),Multi(OUT),Multi(Passby),Comments
Doorway W1,Eric ,14-Mar,11:57:44 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,11:58:21 AM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,12:01:29 PM,,1,,,,,,,
Doorway W1,Eric,14-Mar,12:01:35 PM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,12:02:19 PM,,1,,,,,,,
Doorway W1,Eric,14-Mar,12:02:20 PM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,12:03:42 PM,,1,,,,,,,
Doorway W1,Eric,14-Mar,12:04:31 PM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,12:04:35 PM,1,,,,,,,,
Doorway W1,Eric,14-Mar,12:07:08 PM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,12:07:44 PM,,1,,,,,,,
Doorway W1,Eric,14-Mar,12:15:30 PM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,12:15:34 PM,,1,,,,,,,
Doorway W1,Eric,14-Mar,12:15:41 PM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,12:15:42 PM,,1,,,,,,,
Doorway W1,Eric,14-Mar,12:15:44 PM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,12:15:47 PM,,1,,,,,,,
Doorway W1,Eric,14-Mar,12:15:50 PM,,,,,,1,,,
Doorway W1,Eric ,14-Mar,12:15:57 PM,,1,,,,,,,
Doorway W1,Eric,14-Mar,12:16:07 PM,,,,,,1,,,
Doorway W1,Eric ,14-Mar,12:16:26 PM,1,,,,,,,,
Doorway W1,Eric,14-Mar,12:17:18 PM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,12:17:24 PM,,1,,,,,,,
Doorway W1,Eric,14-Mar,12:18:11 PM,,,,,,1,,,
Doorway W1,Eric ,14-Mar,12:21:24 PM,,1,,,,,,,
Doorway W1,Eric,14-Mar,12:21:43 PM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,12:23:27 PM,,1,,,,,,,
Doorway W1,Eric,14-Mar,12:23:34 PM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,12:23:47 PM,,1,,,,,,,
Doorway W1,Eric,14-Mar,12:26:22 PM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,12:26:31 PM,,,,1,,,,,
Doorway W1,Eric,14-Mar,12:26:31 PM,,,,1,,,,,
Doorway W1,Eric ,14-Mar,12:27:11 PM,,1,,,,,,,
Doorway W1,Eric,14-Mar,12:27:35 PM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,12:27:41 PM,1,,,,,,,,
Doorway W1,Eric,14-Mar,12:29:50 PM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,12:29:53 PM,1,,,,,,,,
Doorway W1,Eric,14-Mar,12:42:53 PM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,12:45:33 PM,,1,,,,,,,
Doorway W1,Eric,14-Mar,12:47:30 PM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,12:50:13 PM,,1,,,,,,,
Doorway W1,Eric,14-Mar,12:50:58 PM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,12:51:23 PM,,,,,,1,,,
Doorway W1,Eric,14-Mar,1:06:38 PM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,1:07:23 PM,1,,,,,,,,
Doorway W1,Eric,14-Mar,1:12:28 PM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,1:15:48 PM,1,,,,,,,,
Doorway W1,Eric,14-Mar,1:16:48 PM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,1:17:42 PM,1,,,,,,,,
Doorway W1,Eric,14-Mar,1:20:25 PM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,1:23:52 PM,,1,,,,,,,
Doorway W1,Eric,14-Mar,1:26:58 PM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,1:31:47 PM,,,,,,1,,,
Doorway W1,Eric,14-Mar,1:33:31 PM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,1:41:36 PM,1,,,,,,,,
Doorway W1,Eric,14-Mar,12:41:50 PM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,1:42:08 PM,,1,,,,,,,
Doorway W1,Eric,14-Mar,1:44:26 PM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,1:46:25 PM,,,,,,1,,,
Doorway W1,Eric,14-Mar,1:49:36 PM,,,,,,1,,,
Doorway W1,Eric ,14-Mar,1:50:30 PM,,1,,,,1,,,There were two people going in the IN direction when a person was going in the OUT direction
Doorway W1,Eric,14-Mar,1:51:26 PM,,,,,,1,,,
Doorway W1,Eric ,14-Mar,2:00:20 PM,1,,,,,,,,
Doorway W1,Eric,14-Mar,2:04:00 PM,1,,,,,,1,,There were two people who were walking in opposite directions simultaneously.
Doorway W1,Eric ,14-Mar,2:05:21 PM,1,,,,,,,,
Doorway W1,Eric,14-Mar,2:10:16 PM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,2:12:41 PM,,1,,,,,,,
Doorway W1,Eric,14-Mar,2:14:26 PM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,2:16:32 PM,1,,,,,,,,
Doorway W1,Eric,14-Mar,2:20:29 PM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,2:41:55 PM,,1,,,,,,,
Doorway W1,Eric,14-Mar,2:44:06 PM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,2:50:44 PM,1,,,,,,,,
Doorway W1,Eric,14-Mar,2:51:31 PM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,2:53:13 PM,1,,,,,,,,
Doorway W1,Eric,14-Mar,2:57:23 PM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,2:57:34 PM,1,,,,,,,,
Doorway W1,Eric,14-Mar,2:57:38 PM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,3:00:59 PM,1,,,,,,,,
Doorway W1,Eric,14-Mar,3:03:11 PM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,3:05:18 PM,1,,,,,,,,
Doorway W1,Eric,14-Mar,3:06:08 PM,1,,,,,,,,
