Record#,Date,Time Stamp,Packet#,Validity,Total,Ins,Outs,Passby
669,22-Mar,2:14:49 PM,9,Valid,5,1,1,3
670,22-Mar,2:49:28 PM,0,Valid,5,1,1,3
670,22-Mar,2:49:28 PM,1,Valid,5,0,1,4
670,22-Mar,2:49:28 PM,2,Valid,5,0,0,5
671,22-Mar,2:51:25 PM,3,Valid,5,0,0,5
672,22-Mar,2:55:09 PM,0,Valid,5,0,1,4
673,22-Mar,2:58:45 PM,1,Valid,5,0,3,2
675,22-Mar,4:22:57 PM,2,Valid,5,3,1,1
675,22-Mar,4:22:57 PM,3,Valid,5,2,2,1
675,22-Mar,4:22:57 PM,4,Valid,5,2,1,2
676,22-Mar,4:33:47 PM,5,Valid,5,0,1,4
676,22-Mar,4:33:47 PM,6,Valid,5,0,0,5
677,22-Mar,4:35:32 PM,7,Valid,5,0,0,5
678,22-Mar,4:36:29 PM,8,Valid,5,0,0,5
679,22-Mar,4:37:58 PM,9,Valid,5,0,0,5
680,22-Mar,4:40:44 PM,10,Valid,5,1,2,2
681,22-Mar,4:42:25 PM,11,Valid,5,0,0,5
682,22-Mar,4:43:11 PM,12,Valid,5,0,4,1
683,22-Mar,4:43:55 PM,13,Valid,5,0,4,1
684,22-Mar,4:45:09 PM,14,Valid,5,0,2,3
685,22-Mar,4:46:28 PM,15,Valid,5,1,2,2
686,22-Mar,4:47:49 PM,16,Valid,5,0,1,4
687,22-Mar,4:48:38 PM,17,Valid,5,0,2,3
688,22-Mar,4:49:46 PM,18,Valid,5,0,2,3
689,22-Mar,4:51:42 PM,19,Valid,5,0,0,5
690,22-Mar,4:53:20 PM,20,Valid,5,1,1,3
691,22-Mar,4:54:00 PM,21,Valid,5,0,3,2
692,22-Mar,4:56:49 PM,22,Valid,5,0,0,5
693,22-Mar,5:02:32 PM,23,Valid,5,0,1,4
694,22-Mar,5:05:06 PM,24,Valid,5,0,0,5
695,22-Mar,5:06:18 PM,25,Valid,5,0,3,2
696,22-Mar,5:07:22 PM,26,Valid,5,1,2,2
697,22-Mar,5:10:35 PM,27,Valid,5,0,0,5
698,22-Mar,5:12:36 PM,28,Valid,5,0,1,4
699,22-Mar,5:33:16 PM,29,Valid,5,0,1,4
699,22-Mar,5:33:16 PM,30,Valid,5,0,0,5
699,22-Mar,5:33:16 PM,31,Valid,5,0,1,4
700,22-Mar,5:34:29 PM,32,Valid,5,0,3,2
703,24-Mar,1:54:17 PM,0,Valid,5,0,3,2
704,24-Mar,1:55:22 PM,1,Valid,5,2,2,1
721,24-Mar,2:23:40 PM,0,Valid,5,0,2,3
721,24-Mar,2:23:40 PM,1,Valid,5,0,0,5
728,24-Mar,2:32:00 PM,2,Valid,5,2,0,3
728,24-Mar,2:32:00 PM,3,Valid,5,2,2,1
733,24-Mar,2:35:14 PM,4,Valid,5,0,3,2
