LabelType,Recover#,TimeDiff,BSidx,BSrecord#,DateTime,PktID,Validity,Total,Ins,Outs,Passbys,gtIdx,DateTime,gtIns,gtOuts,gtPb_near,gt_Pb_far,gtlinger,gtMultiIns,gtMultiOuts,gtMultiPbs
Null,0,,,,,,,,,,,61,1900-03-18 16:40:42,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,62,1900-03-18 16:43:45,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,63,1900-03-18 16:52:29,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,64,1900-03-18 16:58:42,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,65,1900-03-18 16:59:39,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,66,1900-03-18 17:02:26,0,0,0,1,0,0,0,0
Null,0,,,,,,,,,,,67,1900-03-18 17:22:42,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,68,1900-03-18 17:24:22,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,69,1900-03-18 17:46:38,0,0,0,1,0,0,0,0
Null,0,,,,,,,,,,,70,1900-03-18 18:00:52,0,0,0,1,0,0,0,0
Null,0,,,,,,,,,,,71,1900-03-18 18:46:23,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,72,1900-03-18 18:48:06,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,73,1900-03-18 20:59:07,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,74,1900-03-18 21:02:12,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,75,1900-03-18 22:02:33,0,0,0,1,0,0,0,0
Null,0,,,,,,,,,,,76,1900-03-18 22:04:07,0,0,0,1,0,0,0,0
Null,0,,,,,,,,,,,77,1900-03-18 22:04:28,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,78,1900-03-18 22:06:09,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,79,1900-03-18 22:06:18,0,0,0,1,0,0,0,0
Null,0,,,,,,,,,,,80,1900-03-18 23:36:14,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,81,1900-03-19 07:32:30,0,0,1,0,0,0,0,0
Null,0,,,,,,,,,,,82,1900-03-19 08:58:22,0,0,0,1,0,0,0,0
Null,0,,,,,,,,,,,83,1900-03-19 09:00:58,0,0,0,1,0,0,0,0
Null,0,,,,,,,,,,,84,1900-03-19 09:04:30,0,0,1,0,0,0,0,0
Null,0,,,,,,,,,,,85,1900-03-19 10:03:42,0,0,0,0,0,1,0,0
