Doorway,Reviewer,Date,Event Time,Ins,Outs,Passby_near,Passby_far,Linger,Multi(IN),Multi(OUT),Multi(Passby),Comments
W0,Kacie,17-Mar,7:10:56 PM,1,,,,,,,,
W0,Kacie,17-Mar,7:27:41 PM,,,,1,,,,,
W0,Kacie,17-Mar,7:32:09 PM,,1,,,,,,,caught very end
W0,Kacie,17-Mar,7:32:42 PM,1,,,,,,,,
W0,Kacie,17-Mar,7:52:45 PM,,1,,,,,,,
W0,Kacie,17-Mar,7:54:29 PM,,1,,,,,,,
W0,Kacie,17-Mar,7:54:44 PM,1,,,,,,,,
W0,Kacie,17-Mar,7:55:05 PM,,1,,,,,,,
W0,Kacie,17-Mar,7:55:15 PM,1,,,,,,,,
W0,Kacie,17-Mar,7:55:26 PM,,1,,,,,,,
W0,Kacie,17-Mar,7:55:41 PM,1,,,,,,,,
W0,Kacie,17-Mar,7:55:52 PM,,1,,,,,,,
W0,Kacie,17-Mar,7:56:17 PM,1,,,,,,,,
W0,Kacie,17-Mar,8:01:50 PM,,,,,,1,,,
W0,Kacie,17-Mar,8:03:59 PM,,,,1,,,,,
W0,Kacie,17-Mar,8:04:08 PM,1,,,,,,,,
W0,Kacie,17-Mar,8:05:58 PM,,1,,,,,,,door was shut
W0,Kacie,18-Mar,9:04:07 AM,,,,1,,,,,
W0,Kacie,18-Mar,9:10:28 AM,,,1,,,,,,
W0,Kacie,18-Mar,9:19:25 AM,1,,,1,,,,,"someone opened the door and entered, and someone passed by at the same time"
W0,Kacie,18-Mar,9:20:20 AM,,1,,,,,,,
W0,Kacie,18-Mar,9:26:22 AM,1,,,,,,,,
W0,Kacie,18-Mar,9:27:02 AM,,,,1,,,,,
W0,Kacie,18-Mar,9:27:09 AM,,,,1,,,,,
W0,Kacie,18-Mar,9:28:09 AM,,,,1,,,,,
W0,Kacie,18-Mar,9:29:49 AM,1,,,,,,,,
W0,Kacie,18-Mar,9:30:26 AM,,,,1,,,,,
W0,Kacie,18-Mar,9:33:35 AM,,,,1,,,,,
W0,Kacie,18-Mar,9:33:58 AM,,,1,,,,,,
W0,Kacie,18-Mar,10:10:09 AM,,,,,,,,,"not sure how to classify it, caught the very end of it"
W0,Kacie,18-Mar,10:10:15 AM,1,,,,,,,,
W0,Kacie,18-Mar,10:15:32 AM,,,,,,,,,caught the very end of the event again
W0,Kacie,18-Mar,10:20:03 AM,1,,,,,,,,
W0,Kacie,18-Mar,10:55:25 AM,,,,1,,,,,"i think it was a passby, but caught the very end"
W0,Kacie,18-Mar,10:55:36 AM,,,1,,,,,,
W0,Kacie,18-Mar,11:35:47 AM,1,,,,,,,,
W0,Kacie,18-Mar,11:41:05 AM,,1,,,,,,,
W0,Kacie,18-Mar,11:46:21 AM,1,,,,,,,,
W0,Kacie,18-Mar,12:03:27 PM,,1,,,,,,,
W0,Kacie,18-Mar,12:05:39 PM,,,,1,,,,,
W0,Kacie,18-Mar,12:19:11 PM,,,,1,,,,,
W0,Kacie,18-Mar,12:19:38 PM,,,,1,,,,,
W0,Kacie,18-Mar,12:44:19 PM,1,,,,,,,,
W0,Kacie,18-Mar,12:48:48 PM,,,,1,,,,,
W0,Kacie,18-Mar,1:16:58 PM,1,,,,,,,,
W0,Kacie,18-Mar,1:22:12 PM,,,,1,,,,,
W0,Kacie,18-Mar,1:42:06 PM,,,1,,,,,,
W0,Kacie,18-Mar,1:44:28 PM,,1,,,,,,,
W0,Kacie,18-Mar,1:44:48 PM,,,,,1,,,,someone stood by the door and moved the door some
W0,Kacie,18-Mar,1:44:56 PM,,,,1,,,,,
W0,Kacie,18-Mar,1:45:03 PM,,1,,,1,,,,"walked out, stood in the hall for a moment, and then walked back in"
W0,Kacie,18-Mar,1:45:08 PM,1,,,,,,,,
W0,Kacie,18-Mar,1:49:39 PM,,,,1,,,,,
W0,Kacie,18-Mar,1:54:34 PM,,,,1,,,,,
W0,Kacie,18-Mar,2:03:39 PM,,,,1,,,,,"caught the very end of it,  possibly could have been an in instead"
W0,Kacie,18-Mar,2:45:42 PM,,1,,,,,,,
W0,Kacie,18-Mar,2:48:47 PM,1,,,,,,,,
W0,Kacie,18-Mar,2:51:30 PM,,1,,,,,,,
W0,Kacie,18-Mar,2:52:35 PM,,,,1,,,,,
W0,Kacie,18-Mar,2:52:40 PM,,,,1,,,,,
W0,Kacie,18-Mar,4:34:05 PM,,,,1,,,,,
W0,Kacie,18-Mar,4:40:42 PM,1,,,,,,,,
W0,Kacie,18-Mar,4:43:45 PM,,1,,,,,,,
W0,Kacie,18-Mar,4:52:29 PM,1,,,,,,,,
W0,Kacie,18-Mar,4:58:42 PM,,1,,,,,,,
W0,Kacie,18-Mar,4:59:39 PM,,1,,,,,,,
W0,Kacie,18-Mar,5:02:26 PM,,,,1,,,,,
W0,Kacie,18-Mar,5:22:42 PM,1,,,,,,,,
W0,Kacie,18-Mar,5:24:22 PM,,1,,,,,,,
W0,Kacie,18-Mar,5:46:38 PM,,,,1,,,,,
W0,Kacie,18-Mar,6:00:52 PM,,,,1,,,,,
W0,Kacie,18-Mar,6:46:23 PM,,1,,,,,,,
W0,Kacie,18-Mar,6:48:06 PM,1,,,,,,,,
W0,Kacie,18-Mar,8:59:07 PM,,1,,,,,,,
W0,Kacie,18-Mar,9:02:12 PM,1,,,,,,,,
W0,Kacie,18-Mar,10:02:33 PM,,,,1,,,,,
W0,Kacie,18-Mar,10:04:07 PM,,,,1,,,,,
W0,Kacie,18-Mar,10:04:28 PM,,1,,,,,,,
W0,Kacie,18-Mar,10:06:09 PM,1,,,,,,,,
W0,Kacie,18-Mar,10:06:18 PM,,,,1,,,,,
W0,Kacie,18-Mar,11:36:14 PM,,1,,,,,,,door shut
W0,Kacie,19-Mar,7:32:30 AM,,,1,,,,,,
W0,Kacie,19-Mar,8:58:22 AM,,,,1,,,,,
W0,Kacie,19-Mar,9:00:58 AM,,,,1,,,,,
W0,Kacie,19-Mar,9:04:30 AM,,,1,,,,,,
W0,Kacie,19-Mar,10:03:42 AM,,,,,,1,,,door opened
W0,Kacie,19-Mar,10:12:47 AM,,,1,,,,,,
W0,Kacie,19-Mar,10:16:08 AM,,1,,,,,,,
W0,Kacie,19-Mar,10:16:28 AM,,,,1,,,,,
W0,Kacie,19-Mar,10:33:32 AM,1,,,,,,,,
W0,Kacie,19-Mar,10:57:02 AM,,1,,,,,,,
W0,Kacie,19-Mar,11:42:29 AM,1,,,,,,,,
W0,Kacie,19-Mar,11:43:09 AM,1,,,,,,,,
W0,Kacie,19-Mar,11:51:31 AM,1,,,,,,,,
W0,Kacie,19-Mar,12:02:02 PM,,,1,,,,,,
W0,Kacie,19-Mar,12:06:09 PM,1,,,,,,,,
W0,Kacie,19-Mar,12:27:56 PM,,,,1,,,,,
W0,Kacie,19-Mar,12:28:44 PM,,,,1,,,,,
W0,Kacie,19-Mar,12:28:50 PM,,,,1,,,,,
W0,Kacie,19-Mar,12:31:19 PM,,1,,,,,,,
W0,Kacie,19-Mar,12:33:35 PM,1,,,,,,,,
W0,Kacie,19-Mar,12:33:44 PM,,1,,1,,,,,
