Trevor,  ID: 0,out,lab_out,10,1,7664,7663,0,8309,8309,1,645
Trevor,  ID: 1,out,hallway_out,10,1,4878,4877,0,5609,5609,1,9416
Trevor,  ID: 5,in,office_in,4,9686,14553,4867,1,13007,13006,9685,1546
Trevor,  ID: 0,out,lab_out,11,1,6235,6234,0,7121,7121,1,886
Trevor,  ID: 5,in,office_in,5,10310,16030,5720,0,14123,14123,10310,1907
Trevor,  ID: 0,out,lab_out,12,1,5683,5682,0,6269,6269,1,586
Trevor,  ID: 1,out,hallway_out,14,1,4028,4027,0,5258,5258,1,16896
Trevor,  ID: 5,in,office_in,6,2878,7883,5005,0,6213,6213,2878,1670
Trevor,  ID: 0,out,lab_out,13,1,5821,5820,0,7083,7083,1,1262
Trevor,  ID: 1,out,hallway_out,16,1,5123,5122,0,5866,5866,1,160
Trevor,  ID: 5,in,office_in,7,10250,15731,5481,0,13466,13466,10250,2265
Trevor,  --ID: 5,in,office_in,8,0,1,1,1,1,0,1,0
Trevor,  ID: 0,out,lab_out,14,1,6030,6029,0,6911,6911,1,881
Trevor,  ID: 1,out,hallway_out,18,1,4750,4749,0,5482,5482,1,456
Trevor,  --ID: 5,in,office_in,9,849,5547,4294953733,6708,4294947931,28473,16111,4294955313
Trevor,  ID: 0,out,lab_out,15,1,5614,5613,0,6539,6539,1,925
Trevor,  ID: 1,out,hallway_out,20,0,4627,4627,1,5371,5370,1,4294934756
Trevor,  ID: 5,in,office_in,1,9898,15144,5246,0,13951,13951,9898,1193
Trevor,  ID: 5,in,office_in,2,0,20260,20260,1,20260,20259,1,0
Trevor,  ID: 0,out,lab_out,16,1,5822,5821,0,6813,6813,1,991
Trevor,  ID: 1,out,hallway_out,22,1,5242,5241,0,5815,5815,1,4294935580
Trevor,  ID: 5,in,office_in,3,1909,7151,5242,0,5126,5126,3445,4294959298
Trevor,  ID: 0,out,lab_out,17,1,5887,5886,0,6979,6979,1,1092
Trevor,  ID: 1,out,hallway_out,24,1,5503,5502,1,6131,6130,0,1906
Trevor,  ID: 5,in,office_in,4,2862,7792,4930,0,6363,6363,2862,1429
