Jeff,0, out, lab_out,1,133,132,0,151,151,1,18
Jeff,0, out, lab_out,1,95,94,0,231,231,1,136
Jeff,0, out, lab_out,1,124,123,0,64,64,1,60
Jeff,0, out, lab_out,1,63,62,1,236,235,0,173
Jeff,0, out, lab_out,1,175,174,0,90,90,1,85
Jeff,0, out, lab_out,1,89,88,0,1,1,1,88
Jeff,0, out, lab_out,1,122,121,1,69,68,0,53
Jeff,0, out, lab_out,1,152,151,0,121,121,1,31
Jeff,0, out, lab_out,1,100,99,0,172,172,1,72
Jeff,0, out, lab_out,1,222,221,0,174,174,1,48
Jeff,0, out, lab_out,1,239,238,0,0,0,1,239
Jeff,0, out, lab_out,1,42,41,0,58,58,1,16
Jeff,0, out, lab_out,1,144,143,0,115,115,1,29
Jeff,0, out, lab_out,0,174,174,1,226,225,1,52
Jeff,0, out, lab_out,0,18,18,1,24,23,1,6
Jeff,0, out, lab_out,1,125,124,0,243,243,1,118
Jeff,0, out, lab_out,1,163,162,0,14,14,1,149
Jeff,0, out, lab_out,0,175,175,1,145,144,1,30
Jeff,0, out, lab_out,1,32,31,0,13,13,1,19
Jeff,0, out, lab_out,0,20,20,1,42,41,1,22
Jeff,0, out, lab_out,0,31,31,1,191,190,1,160
Jeff,0, out, lab_out,1,132,131,0,110,110,1,22
Jeff,0, out, lab_out,1,16,15,0,245,245,1,229
Nicole,0, out, lab_out,1,141,140,0,19,19,1,122
Nicole,0, out, lab_out,1,84,83,0,73,73,1,11
Nicole,0, out, lab_out,0,68,68,1,173,172,1,105
Nicole,0, out, lab_out,1,8,7,0,111,111,1,103
Nicole,0, out, lab_out,1,135,134,0,83,83,1,52
Nicole,0, out, lab_out,0,185,185,1,28,27,1,157
Nicole,0, out, lab_out,0,122,122,1,99,98,1,23
Nicole,0, out, lab_out,0,121,121,1,208,207,1,87
Nicole,0, out, lab_out,1,32,31,0,111,111,1,79
Nicole,0, out, lab_out,0,159,159,1,87,86,1,72
Nicole,0, out, lab_out,0,126,126,1,176,175,1,50
Nicole,0, out, lab_out,0,87,87,1,37,36,1,50
Nicole,0, out, lab_out,1,124,123,0,241,241,1,117
Nicole,0, out, lab_out,1,127,126,0,76,76,1,51
Nicole,0, out, lab_out,1,225,224,0,141,141,1,84
Nicole,0, out, lab_out,1,89,88,0,121,121,1,32
Nicole,0, out, lab_out,0,39,39,1,20,19,1,19
Nicole,0, out, lab_out,1,158,157,1,145,144,0,13
Jeff,1, out, hallway_out,1,61,60,0,27,27,1,34
Jeff,1, out, hallway_out,0,167,167,1,156,155,1,11
Jeff,1, out, hallway_out,1,170,169,0,13,13,1,157
Jeff,1, out, hallway_out,1,13,12,0,255,255,1,242
Jeff,1, out, hallway_out,1,198,197,0,49,49,1,149
Jeff,1, out, hallway_out,1,182,181,0,35,35,1,147
Jeff,1, out, hallway_out,1,221,220,0,150,150,1,71
Jeff,1, out, hallway_out,1,182,181,1,158,157,0,24
Jeff,1, out, hallway_out,0,45,45,1,160,159,1,115
Jeff,1, out, hallway_out,1,63,62,0,171,171,1,108
Jeff,1, out, hallway_out,1,90,89,0,76,76,1,14
Jeff,1, out, hallway_out,0,35,35,1,93,92,1,58
Jeff,1, out, hallway_out,1,80,79,0,178,178,1,98
Jeff,1, out, hallway_out,1,73,72,0,60,60,1,13
Jeff,1, out, hallway_out,1,235,234,0,222,222,1,13
Jeff,1, out, hallway_out,1,111,110,0,221,221,1,110
Jeff,1, out, hallway_out,0,201,201,1,70,69,1,131
Jeff,1, out, hallway_out,1,152,151,0,18,18,1,134
Jeff,1, out, hallway_out,1,92,91,0,198,198,1,106
Jeff,1, out, hallway_out,0,199,199,1,64,63,1,135
Jeff,1, out, hallway_out,1,183,182,0,34,34,1,149
Jeff,1, out, hallway_out,0,57,57,1,21,20,1,36
Nicole,1, out, hallway_out,1,14,13,0,122,122,1,108
Nicole,1, out, hallway_out,1,62,61,0,184,184,1,122
Nicole,1, out, hallway_out,1,99,98,0,60,60,1,39
Nicole,1, out, hallway_out,1,173,172,0,158,158,1,15
Nicole,1, out, hallway_out,1,248,247,0,91,91,1,157
Nicole,1, out, hallway_out,1,253,252,0,79,79,1,174
Nicole,1, out, hallway_out,224,93,125,0,105,105,224,12
Nicole,1, out, hallway_out,1,17,16,1,128,127,0,111
Nicole,1, out, hallway_out,1,148,147,1,2,1,0,146
Nicole,1, out, hallway_out,1,183,182,0,98,98,1,85
