9/1/20 11:55,AA,1,9330,0,13391,9329,13391,1,4061,out,out_normal
9/1/20 11:56,AA,1,7220,1,11624,7219,11623,0,4404,out,out_normal
9/1/20 11:56,AA,1,6675,0,10872,6674,10872,1,4197,out,out_normal
9/1/20 11:57,AA,1,6739,0,11245,6738,11245,1,4506,out,out_normal
9/1/20 11:57,AA,1,7589,0,11582,7588,11582,1,3993,out,out_normal
9/1/20 11:58,AA,3790,8756,0,12616,4966,12616,3790,3860,out,out_normal
9/1/20 11:58,AA,1976,6841,0,11448,4865,11448,1976,4607,out,out_normal
9/1/20 11:59,AA,1,8719,0,12303,8718,12303,1,3584,out,out_normal
9/1/20 11:59,AA,1,7492,0,11587,7491,11587,1,4095,out,out_normal
9/1/20 12:00,AA,1,6707,0,10831,6706,10831,1,4124,out,out_normal
9/1/20 12:00,AA,1,7384,0,11685,7383,11685,1,4301,out,out_normal
9/1/20 12:01,AA,1,7354,0,11382,7353,11382,1,4028,out,out_normal
9/1/20 12:02,AA,1,7626,0,11481,7625,11481,1,3855,out,out_normal
9/1/20 12:02,AA,1,18372,0,11204,18371,11204,1,7168,out,out_normal
9/1/20 12:03,AA,6211,9131,0,13225,2920,13225,6211,4094,out,out_normal
9/1/20 12:03,AA,1,8993,0,13257,8992,13257,1,4264,out,out_normal
8/26/20 12:08,SB,5633,8927,0,8451,3294,8451,5633,476,in,in_normal
8/26/20 12:08,SB,6786,10249,0,9398,3463,9398,6786,851,in,in_normal
8/26/20 12:09,SB,5395,8554,0,7832,3159,7832,5395,722,in,in_normal
8/26/20 12:10,SB,4883,7804,0,6843,2921,6843,4883,961,in,in_normal
8/26/20 12:11,SB,5326,8693,0,8142,3367,8142,5326,551,in,in_normal
8/26/20 12:12,SB,5563,8725,0,8212,3162,8212,5563,513,in,in_normal
8/26/20 12:12,SB,6110,9403,0,8962,3293,8962,6110,441,in,in_normal
8/26/20 12:13,SB,6041,9915,0,9333,3874,9333,6041,582,in,in_normal
8/26/20 12:14,SB,6007,9952,0,9337,3945,9337,6007,615,in,in_normal
8/26/20 12:15,SB,6321,9986,1,9510,3665,9509,6320,476,in,in_normal
8/26/20 12:15,SB,5698,9065,0,8584,3367,8584,5698,481,in,in_normal
8/26/20 12:16,SB,5597,9269,0,8753,3672,8753,5597,516,in,in_normal
8/26/20 12:17,SB,6177,9267,0,8790,3090,8790,6177,477,in,in_normal
8/26/20 12:17,SB,5529,9268,0,8652,3739,8652,5529,616,in,in_normal
8/26/20 12:18,SB,5701,9407,0,8617,3706,8617,5701,790,in,in_normal
8/26/20 12:19,SB,5934,9131,0,8685,3197,8685,5934,446,in,in_normal
8/26/20 12:20,SB,5664,9061,0,8448,3397,8448,5664,613,in,in_normal
8/26/20 12:20,SB,5734,9131,0,8649,3397,8649,5734,482,in,in_normal
8/26/20 12:21,SB,5631,9168,0,8416,3537,8416,5631,752,in,in_normal
8/26/20 12:22,SB,5018,8109,0,7662,3091,7662,5018,447,in,in_normal
