LabelType,TimeDiff,BSidx,BSrecord#,Date,Time,PktID,Validity,Total,Ins,Outs,Passbys,gtIdx,Date,Time,gtIns,gtOuts,gtPb_near,gt_Pb_far,gtlinger,gtMultiIns,gtMultiOuts,gtMultiPbs
Null,,,,,,,,,,,,66,14-Mar,3:52:35 AM,1,0,0,0,0,0,0,0
Null,,,,,,,,,,,,67,14-Mar,3:56:27 AM,0,1,0,0,0,0,0,0
Null,,,,,,,,,,,,68,14-Mar,3:56:42 AM,1,0,0,0,0,0,0,0
Null,,,,,,,,,,,,69,14-Mar,3:56:57 AM,0,1,0,0,0,0,0,0
Null,,,,,,,,,,,,70,14-Mar,3:57:14 AM,1,0,0,0,0,0,0,0
Null,,,,,,,,,,,,71,14-Mar,3:57:33 AM,0,0,1,0,0,0,0,0
Null,,,,,,,,,,,,72,14-Mar,3:57:47 AM,0,1,0,0,0,0,0,0
Null,,,,,,,,,,,,73,14-Mar,3:58:05 AM,1,0,0,0,0,0,0,0
Null,,,,,,,,,,,,74,14-Mar,3:58:26 AM,0,1,0,0,0,0,0,0
Null,,,,,,,,,,,,75,14-Mar,3:58:46 AM,1,0,0,0,0,0,0,0
Null,,,,,,,,,,,,76,14-Mar,3:59:05 AM,0,1,0,0,0,0,0,0
Null,,,,,,,,,,,,77,14-Mar,3:59:28 AM,1,0,0,0,0,0,0,0
Null,,,,,,,,,,,,78,14-Mar,3:59:48 AM,0,0,0,0,1,0,0,0
Null,,,,,,,,,,,,79,14-Mar,4:00:00 AM,0,0,0,0,0,0,0,0
Null,,,,,,,,,,,,80,14-Mar,4:02:46 AM,0,1,0,0,0,0,0,0
Null,,,,,,,,,,,,81,14-Mar,4:03:01 AM,1,0,0,0,0,0,0,0
Null,,,,,,,,,,,,82,14-Mar,4:11:53 AM,0,0,0,0,1,0,0,0
Null,,,,,,,,,,,,83,14-Mar,4:12:21 AM,0,0,0,1,0,0,0,0
Null,,,,,,,,,,,,84,14-Mar,4:14:05 AM,1,0,0,0,0,0,0,0
Null,,,,,,,,,,,,85,14-Mar,4:14:22 AM,0,0,0,0,1,0,0,0
Null,,,,,,,,,,,,86,14-Mar,4:14:44 AM,1,0,0,0,0,0,0,0
Null,,,,,,,,,,,,87,14-Mar,4:17:05 AM,0,1,0,0,0,0,0,0
Null,,,,,,,,,,,,88,14-Mar,6:34:22 AM,0,0,1,0,0,0,0,0
Null,,,,,,,,,,,,89,14-Mar,6:34:56 AM,0,0,1,0,0,0,0,0
Null,,,,,,,,,,,,90,14-Mar,6:35:17 AM,0,0,0,1,0,0,0,0
Null,,,,,,,,,,,,91,14-Mar,9:12:32 AM,1,0,0,0,0,0,0,0
Null,,,,,,,,,,,,92,14-Mar,9:12:51 AM,0,1,0,0,0,0,0,0
Null,,,,,,,,,,,,93,14-Mar,9:13:51 AM,0,0,0,1,0,0,0,0
Null,,,,,,,,,,,,94,14-Mar,9:15:38 AM,1,0,0,0,0,0,0,0
Null,,,,,,,,,,,,95,14-Mar,9:15:55 AM,0,0,0,1,0,0,0,0
Null,,,,,,,,,,,,96,14-Mar,9:16:47 AM,0,0,1,0,0,0,0,0
Null,,,,,,,,,,,,97,14-Mar,9:16:57 AM,0,0,0,1,0,0,0,0
Null,,,,,,,,,,,,98,14-Mar,9:17:15 AM,1,0,0,0,0,0,0,0
Null,,,,,,,,,,,,99,14-Mar,9:17:30 AM,0,0,0,1,0,0,0,0
Null,,,,,,,,,,,,100,14-Mar,9:17:52 AM,0,0,1,0,0,0,0,0
Null,,,,,,,,,,,,101,14-Mar,9:18:12 AM,0,0,0,1,0,0,0,0
Null,,,,,,,,,,,,102,14-Mar,9:20:48 AM,1,0,0,0,0,0,0,0
Null,,,,,,,,,,,,103,14-Mar,9:21:26 AM,0,0,0,1,0,0,0,0
Null,,,,,,,,,,,,104,14-Mar,9:22:15 AM,0,1,0,0,0,0,0,0
Null,,,,,,,,,,,,105,14-Mar,9:23:03 AM,1,0,0,0,0,0,0,0
Null,,,,,,,,,,,,106,14-Mar,9:25:03 AM,0,1,0,0,0,0,0,0
Null,,,,,,,,,,,,107,14-Mar,9:25:12 AM,0,0,0,1,0,0,0,0
Null,,,,,,,,,,,,108,14-Mar,9:25:29 AM,0,0,0,1,0,0,0,0
Null,,,,,,,,,,,,109,14-Mar,9:25:56 AM,0,0,0,0,0,0,0,1
Null,,,,,,,,,,,,110,14-Mar,9:26:13 AM,0,0,0,1,0,0,0,0
Null,,,,,,,,,,,,111,14-Mar,9:26:48 AM,0,0,0,1,0,0,0,0
Null,,,,,,,,,,,,112,14-Mar,9:26:57 AM,0,0,0,1,0,0,0,0
Null,,,,,,,,,,,,113,14-Mar,9:29:05 AM,1,0,0,0,0,0,0,0
Null,,,,,,,,,,,,114,14-Mar,9:29:11 AM,0,1,0,0,0,0,0,0
Null,,,,,,,,,,,,115,14-Mar,9:29:46 AM,0,0,0,1,0,0,0,0
Null,,,,,,,,,,,,116,14-Mar,9:30:44 AM,0,1,0,0,0,0,0,0
Null,,,,,,,,,,,,117,14-Mar,9:30:56 AM,0,0,0,1,0,0,0,0
