154,616,5:20:43 PM,726,5:20:33 PM,5:22:17 PM,7:49:04 AM,10.0
155,616,5:20:43 PM,726,5:20:33 PM,5:22:17 PM,7:49:04 AM,10.0
156,629,8:10:38 AM,739,8:10:29 AM,8:10:48 AM,8:11:53 AM,9.0
157,629,8:10:38 AM,739,8:10:29 AM,8:10:48 AM,8:11:53 AM,9.0
158,641,12:03:15 PM,754,12:03:01 PM,12:03:44 PM,12:03:59 PM,14.0
159,641,12:03:15 PM,754,12:03:01 PM,12:03:44 PM,12:03:59 PM,14.0
160,641,12:03:15 PM,754,12:03:01 PM,12:03:44 PM,12:03:59 PM,14.0
161,642,12:04:19 PM,757,12:04:06 PM,12:04:38 PM,12:29:30 PM,13.0
162,643,1:01:38 PM,768,1:01:37 PM,1:29:47 PM,1:29:52 PM,1.0
163,643,1:01:38 PM,768,1:01:37 PM,1:29:47 PM,1:29:52 PM,1.0
172,651,1:53:44 PM,775,1:53:40 PM,2:04:30 PM,2:04:43 PM,4.0
