Doorway,Reviewer,Date,Event Time,Ins,Outs,Passby_near,Passby_far,Linger,Multi(IN),Multi(OUT),Multi(Passby),Comments
Doorway W1,Eric ,14-Mar,12:37:09 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,12:42:31 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,12:42:46 AM,,1,,,,,,,
Doorway W1,Eric,14-Mar,12:43:02 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,12:43:18 AM,,1,,,,,,,
Doorway W1,Eric,14-Mar,12:43:30 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,12:50:03 AM,1,,,,,,,,*
Doorway W1,Eric,14-Mar,12:50:13 AM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,12:50:29 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,12:50:40 AM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,12:51:08 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,12:51:22 AM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,12:51:39 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,12:51:53 AM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,12:52:11 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,12:52:30 AM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,12:53:54 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,12:54:05 AM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,12:52:24 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,12:54:39 AM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,12:54:58 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,12:55:19 AM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,12:55:39 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,12:56:03 AM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,12:56:16 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,1:10:19 AM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,1:10:43 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,1:10:57 AM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,1:11:15 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,1:11:49 AM,1,,,,,,,,*
Doorway W1,Eric ,14-Mar,1:12:04 AM,,1,,,,,,,
Doorway W1,Eric,14-Mar,1:12:31 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,1:12:47 AM,,1,,,,,,,
Doorway W1,Eric,14-Mar,1:13:07 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,1:13:19 AM,,1,,,,,,,
Doorway W1,Eric,14-Mar,1:13:36 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,1:13:53 AM,,1,,,,,,,
Doorway W1,Eric,14-Mar,1:14:13 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,1:14:28 AM,,1,,,,,,,
Doorway W1,Eric,14-Mar,1:14:46 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,1:15:03 AM,,1,,,,,,,
Doorway W1,Eric,14-Mar,1:15:21 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,1:15:42 AM,,1,,,,,,,
Doorway W1,Eric,14-Mar,1:16:06 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,1:18:12 AM,1,,,,,,,,*
Doorway W1,Eric,14-Mar,1:18:40 AM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,1:18:57 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,1:19:33 AM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,1:20:25 AM,,1,,,,,,,*
Doorway W1,Eric,14-Mar,1:20:43 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,1:21:07 AM,,1,,,,,,,
Doorway W1,Eric,14-Mar,1:21:25 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,1:21:39 AM,,1,,,,,,,
Doorway W1,Eric,14-Mar,1:22:27 AM,,1,,,,,,,*
Doorway W1,Eric ,14-Mar,1:22:44 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,1:23:01 AM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,1:23:22 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,1:23:55 AM,1,,,,,,,,*
