Doorway,Reviewer,Date,Event Time,Ins,Outs,Passby_near,Passby_far,Linger,Multi(IN),Multi(OUT),Multi(Passby),Comments,,,,,,,,,,,,,,
,,3/14,12:59:23 PM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,12:59:35 PM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,12:59:49 PM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,1:00:03 PM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,1:00:22 PM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,1:00:39 PM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,1:00:56 PM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,1:01:12 PM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,1:01:41 PM,,,,,1 (20 seconds),,,,,,,,,,,,,,,,,,
,,3/14,1:02:00 PM,,,,,1 (entire video),,,,nicole working on waldo,,,,,,,,,,,,,,
,,3/14,1:03:02 PM,,,,,1 (8 seconds),,,,,,,,,,,,,,,,,,
,,3/14,1:03:09 PM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,1:03:36 PM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,1:03:42 PM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,1:03:57 PM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,1:04:39 PM,,,,,1 (20 seconds),,,,,,,,,,,,,,,,,,
,,3/14,1:05:02 PM,,,,,1 (entire video),,,,nicole putting parts on waldo,,,,,,,,,,,,,,
,,3/14,1:06:02 PM,,,,,1 (entire video),,,,nicole putting parts on waldo,,,,,,,,,,,,,,
,,3/14,1:07:02 PM,,,,,1 (58 seconds),,,,,,,,,,,,,,,,,,
,,3/14,1:09:11 PM,,,,,1 (40 seconds),,,,,,,,,,,,,,,,,,
,,3/14,1:14:04 PM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,1:16:33 PM,,,1,,,,,,,,,,,,,,,,,,,,
,,3/14,1:17:16 PM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,1:17:55 PM,,,1,,,,,,,,,,,,,,,,,,,,
,,3/14,1:20:25 PM,,,,,,,,1,,,,,,,,,,,,,,,
,,3/14,1:20:58 PM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,1:21:22 PM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,1:32:47 PM,,,1,,,,,,,,,,,,,,,,,,,,
,,3/14,1:33:03 PM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,1:50:50 PM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,1:50:56 PM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,1:51:01 PM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,1:51:08 PM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,1:51:36 PM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,1:52:02 PM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,1:54:23 PM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,1:57:08 PM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,1:57:21 PM,,,,,,,,1,,,,,,,,,,,,,,,
,,3/14,2:12:52 PM,,,1,,,,,,,,,,,,,,,,,,,,
,,3/14,2:15:35 PM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,2:16:04 PM,,,,,1 (30 seconds),,,,,,,,,,,,,,,,,,
,,3/14,2:16:34 PM,,,,,1 ( 10 seconds),,,,,,,,,,,,,,,,,,
,,3/14,2:16:45 PM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,2:21:15 PM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,2:25:03 PM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,2:25:25 PM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,2:38:23 PM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,2:38:32 PM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,2:38:57 PM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,2:52:57 PM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,2:53:13 PM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,2:55:24 PM,,,1,,,,,,,,,,,,,,,,,,,,
,,3/14,2:56:03 PM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,2:56:42 PM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,2:56:51 PM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,2:57:20 PM,,,1,,,,,,,,,,,,,,,,,,,,
,,3/14,3:00:14 PM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,3:07:44 PM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,3:08:18 PM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,3:09:09 PM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,3:11:01 PM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,3:18:55 PM,,,1,,,,,,,,,,,,,,,,,,,,
,,3/14,3:19:15 PM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,3:22:02 PM,,,,,,,,1,,,,,,,,,,,,,,,
,,3/14,3:22:08 PM,,,,,,,,1,,,,,,,,,,,,,,,
,,3/14,3:23:02 PM,,,,,,,,1,,,,,,,,,,,,,,,
,,3/14,3:31:08 PM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,3:31:41 PM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,3:32:16 PM,,,1,,,,,,,,,,,,,,,,,,,,
,,3/14,3:32:38 PM,,,1,,,,,,,,,,,,,,,,,,,,
,,3/14,3:34:17 PM,,,,,,,1,,,,,,,,,,,,,,,,
,,3/14,3:34:47 PM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,3:35:02 PM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,3:35:32 PM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,3:35:53 PM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,3:36:36 PM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,3:40:46 PM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,3:55:04 PM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,3:55:42 PM,,,1,,,,,,walks into doorway and then turns back around,,,,,,,,,,,,,,
,,3/14,3:55:52 PM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,3:56:02 PM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,3:56:03 PM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,3:56:40 PM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,3:58:21 PM,,,,,1 (45 seconds),,,,,,,,,,,,,,,,,,
,,3/14,3:59:06 PM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,4:00:19 PM,,,,,,1,,,,,,,,,,,,,,,,,
,,3/14,4:01:42 PM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,4:02:24 PM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,4:02:47 PM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,4:03:17 PM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,4:05:07 PM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,4:05:13 PM,,1,,,,,,,"walked out, sort of lingered, then walked back in",,,,,,,,,,,,,,
,,3/14,4:05:28 PM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,4:07:19 PM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,4:08:14 PM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,4:10:17 PM,,,,,,,,,cameras are changed,,,,,,,,,,,,,,
