Doorway,Reviewer,Date,Event Time,Ins,Outs,Passby_near,Passby_far,Linger,Multi(IN),Multi(OUT),Multi(Passby),Comments
W0,Kacie,14-Mar,9:54:54 AM,,1,,,,,,,
W0,Kacie,14-Mar,9:55:07 AM,1,,,,,,,,
W0,Kacie,14-Mar,9:57:58 AM,,,,1,,,,,
W0,Kacie,14-Mar,10:00:38 AM,,,,1,,,,,
W0,Kacie,14-Mar,10:04:54 AM,,,,,1,,,,
W0,Kacie,14-Mar,10:05:05 AM,,,,1,,,,,
W0,Kacie,14-Mar,10:05:35 AM,,,,,,1,,,
W0,Kacie,14-Mar,10:06:11 AM,1,,,,,,,,
W0,Kacie,14-Mar,10:08:23 AM,,1,,,,,,,
W0,Kacie,14-Mar,10:08:36 AM,1,,,,,,,,
W0,Kacie,14-Mar,10:08:43 AM,,,,,,,,1,
W0,Kacie,14-Mar,10:09:09 AM,1,,,,,,,,
W0,Kacie,14-Mar,10:09:15 AM,,,,,,,1,,
W0,Kacie,14-Mar,10:09:23 AM,,1,,,,,,,
W0,Kacie,14-Mar,10:09:32 AM,,,,1,,,,,
W0,Kacie,14-Mar,10:09:51 AM,1,,,,,,,,
W0,Kacie,14-Mar,10:10:35 AM,1,,,,,,,,
W0,Kacie,14-Mar,10:10:37 AM,,,,,1,,,,
W0,Kacie,14-Mar,10:11:12 AM,,1,,,,,,,
W0,Kacie,14-Mar,10:11:49 AM,,,,,1 (90 seconds),,,,
W0,Kacie,14-Mar,10:13:23 AM,,1,,,,,,,
W0,Kacie,14-Mar,10:13:30 AM,,,,,1 (60 seconds),,,,
W0,Kacie,14-Mar,10:14:42 AM,,1,,,,,,,
W0,Kacie,14-Mar,10:15:02 AM,1,,,,,,,,
W0,Kacie,14-Mar,10:15:15 AM,,,1,,,,,,
W0,Kacie,14-Mar,10:15:57 AM,1,,,,,,,,
W0,Kacie,14-Mar,10:16:02 AM,1,,,,,,,,
W0,Kacie,14-Mar,10:16:07 AM,1,,,,,,,,
W0,Kacie,14-Mar,10:17:07 AM,,,,1,,,,,
W0,Kacie,14-Mar,10:17:12 AM,1,,,,,,,,
W0,Kacie,14-Mar,10:18:13 AM,,,,1,,,,,
W0,Kacie,14-Mar,10:19:09 AM,,,,,1 (60 seconds),,,,
W0,Kacie,14-Mar,10:23:15 AM,,,,,,,1,,
W0,Kacie,14-Mar,10:23:22 AM,1,,,,,,,,
W0,Kacie,14-Mar,10:23:26 AM,,1,,,,,,,
W0,Kacie,14-Mar,10:23:21 AM,,1,,,,,,,
W0,Kacie,14-Mar,10:23:56 AM,1,,,,,,,,
W0,Kacie,14-Mar,10:24:10 AM,,1,,,,,,,
W0,Kacie,14-Mar,10:24:25 AM,1,,,,,,,,
W0,Kacie,14-Mar,10:25:08 AM,,1,,,,,,,
W0,Kacie,14-Mar,10:25:38 AM,,,,,1 (30 seconds),,,,someone working at table in the corner
W0,Kacie,14-Mar,10:26:16 AM,1,,,,,,,,
W0,Kacie,14-Mar,10:26:24 AM,,,,1,,,,,
W0,Kacie,14-Mar,10:26:35 AM,,,,1,,,,,
