Missing,,,14-Mar,4:17:05 AM,,1,,,,,,,door shut
Missing,,,14-Mar,6:34:22 AM,,,1,,,,,,
Missing,,,14-Mar,6:34:56 AM,,,1,,,,,,
Missing,,,14-Mar,6:35:17 AM,,,,1,,,,,
Missing,,,14-Mar,9:12:32 AM,1,,,,,,,,door opened
Missing,,,14-Mar,9:12:51 AM,,1,,,,,,,
Missing,,,14-Mar,9:13:51 AM,,,,1,,,,,
Missing,,,14-Mar,9:15:38 AM,1,,,,,,,,
Missing,,,14-Mar,9:15:55 AM,,,,1,,,,,
Missing,,,14-Mar,9:16:47 AM,,,1,,,,,,
Missing,,,14-Mar,9:16:57 AM,,,,1,,,,,
Missing,,,14-Mar,9:17:15 AM,1,,,,,,,,
Missing,,,14-Mar,9:17:30 AM,,,,1,,,,,
Missing,,,14-Mar,9:17:52 AM,,,1,,,,,,
Missing,,,14-Mar,9:18:12 AM,,,,1,,,,,
Missing,,,14-Mar,9:20:48 AM,1,,,,,,,,
Missing,,,14-Mar,9:21:26 AM,,,,1,,,,,
Missing,,,14-Mar,9:22:15 AM,,1,,,,,,,
Missing,,,14-Mar,9:23:03 AM,1,,,,,,,,
Missing,,,14-Mar,9:25:03 AM,,1,,,,,,,
Missing,,,14-Mar,9:25:12 AM,,,,1,,,,,
Missing,,,14-Mar,9:25:29 AM,,,,1,,,,,
Missing,,,14-Mar,9:25:56 AM,,,,,,,,1,
Missing,,,14-Mar,9:26:13 AM,,,,1,,,,,
Missing,,,14-Mar,9:26:48 AM,,,,1,,,,,
Missing,,,14-Mar,9:26:57 AM,,,,1,,,,,
Missing,,,14-Mar,9:29:05 AM,1,,,,,,,,
Missing,,,14-Mar,9:29:11 AM,,1,,,,,,,
Missing,,,14-Mar,9:29:46 AM,,,,1,,,,,
Missing,,,14-Mar,9:30:44 AM,,1,,,,,,,
Missing,,,14-Mar,9:30:56 AM,,,,1,,,,,
Missing,,,14-Mar,9:31:00 AM,1,,,,,,,,
Missing,,,14-Mar,9:32:27 AM,1,,,,,,,,
Missing,,,14-Mar,9:32:38 AM,,1,,,,,,,
Missing,,,14-Mar,9:32:51 AM,1,,,,,,,,
Missing,,,14-Mar,9:35:23 AM,,,,1,,,,,
Missing,,,14-Mar,9:38:02 AM,,1,,,,,,,
Missing,,,14-Mar,9:38:12 AM,,,,1,,,,,
Missing,,,14-Mar,9:38:25 AM,1,,,,,,,,
Missing,,,14-Mar,9:38:41 AM,,1,,,,,,,
Missing,,,14-Mar,9:38:52 AM,1,,,,,,,,
Missing,,,14-Mar,9:39:04 AM,,1,,,,,,,
Missing,,,14-Mar,9:39:16 AM,1,,,,,,,,
Missing,,,14-Mar,9:39:29 AM,,1,,,,,,,
Missing,,,14-Mar,9:39:41 AM,1,,,,,,,,
Missing,,,14-Mar,9:39:50 AM,,,,1,,,,,
Missing,,,14-Mar,9:53:09 AM,,1,,,,,,,
Missing,,,14-Mar,9:53:19 AM,1,,,,,,,,
Missing,,,14-Mar,9:53:31 AM,,1,,,,,,,
