Record#,Date,Time Stamp,BaystationID,WaldoID,CURRENT_PacketID,CURRENT_Validity,CURRENT_Total_Events,CURRENT_In_events,CURRENT_Out_events,CURRENT_Passby_events,CURRENT_Other_events,PRIOR1_PacketID,PRIOR1_Validity,PRIOR1_Total_events,PRIOR1_In_events,PRIOR1_Out_events,PRIOR1_Passby_events,PRIOR1_Other_events,PRIOR2_PacketID,PRIOR2_Validity,PRIOR2_Total_events,PRIOR2_In_events,PIROR2_Out_events,PRIOR2_Passby_events,PRIOR2_Other_events
134,14-Mar,4:30:42 PM,0,0,0,Valid,5,2,3,0,0,0,Invalid,0,0,0,0,0,0,Invalid,0,0,0,0,0
135,14-Mar,4:31:29 PM,0,0,0,Valid,5,1,4,0,0,0,Invalid,0,0,0,0,0,0,Invalid,0,0,0,0,0
136,14-Mar,4:31:29 PM,1,0,0,Valid,5,1,4,0,0,0,Invalid,0,0,0,0,0,0,Invalid,0,0,0,0,0
137,14-Mar,4:32:16 PM,0,0,0,Valid,5,0,5,0,0,0,Invalid,0,0,0,0,0,0,Invalid,0,0,0,0,0
138,14-Mar,4:32:16 PM,1,0,0,Valid,5,0,5,0,0,0,Invalid,0,0,0,0,0,0,Invalid,0,0,0,0,0
139,14-Mar,4:33:21 PM,0,0,0,Valid,5,0,5,0,0,0,Invalid,0,0,0,0,0,0,Invalid,0,0,0,0,0
140,14-Mar,4:36:29 PM,0,0,0,Valid,5,2,3,0,0,0,Invalid,0,0,0,0,0,0,Invalid,0,0,0,0,0
141,14-Mar,4:38:04 PM,0,0,1,Valid,5,0,4,1,0,0,Valid,5,2,3,0,0,0,Invalid,0,0,0,0,0
142,14-Mar,4:39:46 PM,0,0,2,Valid,5,2,2,1,0,1,Valid,5,0,4,1,0,0,Valid,5,2,3,0,0
147,14-Mar,4:42:09 PM,0,0,3,Valid,5,1,4,0,0,2,Valid,5,2,2,1,0,1,Valid,5,0,4,1,0
152,14-Mar,4:45:34 PM,0,0,4,Valid,5,2,2,1,0,3,Valid,5,1,4,0,0,2,Valid,5,2,2,1,0
153,14-Mar,4:49:16 PM,0,0,5,Valid,5,0,1,4,0,4,Valid,5,2,2,1,0,3,Valid,5,1,4,0,0
154,14-Mar,4:52:23 PM,0,0,6,Valid,5,0,2,3,0,5,Valid,5,0,1,4,0,4,Valid,5,2,2,1,0
157,14-Mar,5:07:16 PM,0,0,1,Valid,5,2,2,1,0,0,Valid,5,0,4,1,0,0,Invalid,0,0,0,0,0
158,14-Mar,5:19:47 PM,0,0,3,Valid,5,0,2,3,0,2,Valid,5,1,2,2,0,1,Valid,5,2,2,1,0
159,14-Mar,5:58:41 PM,0,0,162,Invalid,195,116,205,218,220,16,Invalid,187,168,29,142,160,61,Invalid,97,34,198,183,185
