LabelType,Recover#,TimeDiff,BSidx,BSrecord#,DateTime,PktID,Validity,Total,Ins,Outs,Passbys,gtIdx,DateTime,gtIns,gtOuts,gtPb_near,gt_Pb_far,gtlinger,gtMultiIns,gtMultiOuts,gtMultiPbs
Null,0,,,,,,,,,,,54,1900-03-14 11:25:25,0,0,0,0,1 (entire video),0,0,0
Null,0,,,,,,,,,,,55,1900-03-14 11:26:25,0,0,0,0,1 (entire video),0,0,0
Null,0,,,,,,,,,,,56,1900-03-14 11:28:26,0,0,0,0,1 (entire video),0,0,0
Null,0,,,,,,,,,,,57,1900-03-14 11:29:26,0,0,0,0,1 (entire video),0,0,0
Null,0,,,,,,,,,,,58,1900-03-14 11:30:27,0,0,0,0,1 (entire video),0,0,0
Null,0,,,,,,,,,,,59,1900-03-14 11:31:33,0,0,0,0,1 (entire video),0,0,0
Null,0,,,,,,,,,,,60,1900-03-14 11:32:33,0,0,0,0,1 (entire video),0,0,0
Null,0,,,,,,,,,,,61,1900-03-14 11:33:33,0,0,0,0,1 (entire video),0,0,0
Null,0,,,,,,,,,,,62,1900-03-14 11:34:33,0,0,0,0,1 (entire video),0,0,0
Null,0,,,,,,,,,,,63,1900-03-14 11:35:37,0,0,0,0,1 (entire video),0,0,0
Null,0,,,,,,,,,,,64,1900-03-14 11:36:36,0,0,0,0,1 (entire video),0,0,0
Null,0,,,,,,,,,,,65,1900-03-14 11:38:03,0,0,0,0,1 (45 seconds),0,0,0
Null,0,,,,,,,,,,,66,1900-03-14 11:38:49,0,0,0,1,0,0,0,0
Null,0,,,,,,,,,,,67,1900-03-14 11:39:11,0,0,0,0,1 (50 seconds),0,0,0
Null,0,,,,,,,,,,,68,1900-03-14 11:40:03,0,0,0,0,1 (entire video),0,0,0
Null,0,,,,,,,,,,,69,1900-03-14 11:41:04,0,0,0,0,1 (entire video),0,0,0
Null,0,,,,,,,,,,,70,1900-03-14 11:42:04,0,0,0,0,1 (entire video),0,0,0
Null,0,,,,,,,,,,,71,1900-03-14 11:43:04,0,0,0,0,1 (entire video),0,0,0
Null,0,,,,,,,,,,,72,1900-03-14 11:44:04,0,0,0,0,1 (entire video),0,0,0
Null,0,,,,,,,,,,,73,1900-03-14 11:45:04,0,0,0,0,1 (entire video),0,0,0
Null,0,,,,,,,,,,,74,1900-03-14 11:46:05,0,0,0,0,1 (entire video),0,0,0
Null,0,,,,,,,,,,,75,1900-03-14 11:47:38,0,0,0,0,1 (entire video),0,0,0
Null,0,,,,,,,,,,,76,1900-03-14 11:48:33,0,0,0,0,1 (entire video),0,0,0
Null,0,,,,,,,,,,,77,1900-03-14 11:49:38,0,0,0,0,1 (entire video),0,0,0
Null,0,,,,,,,,,,,78,1900-03-14 11:50:38,0,0,0,0,1 (entire video),0,0,0
Null,0,,,,,,,,,,,79,1900-03-14 11:51:50,0,0,0,0,1 (entire video),0,0,0
Null,0,,,,,,,,,,,80,1900-03-14 11:52:50,0,0,0,0,1 (50 seconds),0,0,0
Null,0,,,,,,,,,,,81,1900-03-14 11:53:42,0,0,1,0,0,0,0,0
Null,0,,,,,,,,,,,82,1900-03-14 12:15:13,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,83,1900-03-14 12:15:20,0,0,0,0,0,0,1,0
Null,0,,,,,,,,,,,84,1900-03-14 12:15:27,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,85,1900-03-14 12:15:35,0,0,0,0,0,0,1,0
Null,0,,,,,,,,,,,86,1900-03-14 12:15:43,0,0,0,0,0,0,1,0
Null,0,,,,,,,,,,,87,1900-03-14 12:15:51,0,0,0,0,0,0,1,0
Null,0,,,,,,,,,,,88,1900-03-14 12:16:01,0,0,0,0,0,0,1,0
CONFIRMED,2,2.0,18,86,1900-03-14 12:16:25,1,Valid,5,1,3,1,89,1900-03-14 12:16:23,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,90,1900-03-14 12:17:12,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,91,1900-03-14 12:17:18,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,92,1900-03-14 12:17:57,0,0,0,0,0,0,1,0
Null,0,,,,,,,,,,,93,1900-03-14 12:21:17,0,1,0,0,0,0,0,0
FPpkt,1,,19,89,1900-03-14 12:22:59,2,Valid,5,1,2,2,,,,,,,,,,
Null,0,,,,,,,,,,,94,1900-03-14 13:50:38,0,0,1,0,0,0,0,0
Null,0,,,,,,,,,,,95,1900-03-14 13:50:51,0,0,0,0,0,0,0,1
Null,0,,,,,,,,,,,96,1900-03-14 13:51:01,0,0,0,0,1,0,0,0
FPpkt,3,,20,97,1900-03-14 13:52:28,3,Valid,5,0,0,5,,,,,,,,,,
FPpkt,1,,23,98,1900-03-14 13:56:39,6,Valid,5,0,0,5,,,,,,,,,,
FPpkt,2,,24,99,1900-03-14 14:05:27,7,Valid,5,1,0,4,,,,,,,,,,
FPpkt,1,,26,101,1900-03-14 14:14:17,9,Valid,5,0,0,5,,,,,,,,,,
Null,0,,,,,,,,,,,97,1900-03-14 14:57:15,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,98,1900-03-14 15:03:59,0,0,0,0,0,1,0,0
Null,0,,,,,,,,,,,99,1900-03-14 15:09:26,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,100,1900-03-14 15:13:01,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,101,1900-03-14 15:15:27,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,102,1900-03-14 15:16:06,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,103,1900-03-14 15:16:48,1,0,0,0,0,0,0,0
CONFIRMED,3,-1.0,29,106,1900-03-14 15:16:57,12,Valid,5,2,1,2,104,1900-03-14 15:16:58,0,0,0,1,0,0,0,0
Null,0,,,,,,,,,,,105,1900-03-14 15:17:09,0,0,0,1,0,0,0,0
Null,0,,,,,,,,,,,106,1900-03-14 15:18:34,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,107,1900-03-14 15:18:38,1,0,0,0,0,0,0,0
CONFIRMED,1,3.0,30,110,1900-03-14 15:18:46,13,Valid,5,1,0,4,108,1900-03-14 15:18:43,0,0,0,0,0,0,0,1
Null,0,,,,,,,,,,,109,1900-03-14 15:19:05,0,0,0,1,0,0,0,0
Null,0,,,,,,,,,,,110,1900-03-14 15:19:31,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,111,1900-03-14 15:20:28,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,112,1900-03-14 15:20:42,1,0,0,0,0,0,0,0
CONFIRMED,1,2.0,31,114,1900-03-14 15:20:52,14,Valid,5,3,1,1,113,1900-03-14 15:20:50,0,0,1,0,0,0,0,0
Null,0,,,,,,,,,,,114,1900-03-14 15:21:38,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,115,1900-03-14 15:21:50,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,116,1900-03-14 15:22:01,1,0,0,0,0,0,0,0
