Record#,Date,Time Stamp,Packet#,Validity,Total,Ins,Outs,Passby
1012,26-Mar,10:50:19 AM,77,Valid,5,0,5,0
1012,26-Mar,10:50:19 AM,78,Valid,5,3,2,0
1014,26-Mar,10:52:10 AM,79,Valid,5,5,0,0
1017,26-Mar,10:54:22 AM,80,Valid,5,4,0,1
1022,26-Mar,10:55:44 AM,81,Valid,5,3,1,1
1029,26-Mar,11:01:30 AM,82,Valid,5,5,0,0
1060,26-Mar,12:02:27 PM,86,Valid,5,2,3,0
1060,26-Mar,12:02:27 PM,87,Valid,5,2,2,1
1060,26-Mar,12:02:27 PM,88,Valid,5,3,1,1
1069,26-Mar,12:15:37 PM,89,Valid,5,2,3,0
1069,26-Mar,12:15:37 PM,90,Valid,5,1,4,0
1077,26-Mar,12:18:39 PM,91,Valid,5,2,2,1
1077,26-Mar,12:18:39 PM,92,Valid,5,2,2,1
1082,26-Mar,12:20:59 PM,93,Valid,5,2,2,1
1086,26-Mar,12:24:13 PM,94,Valid,5,4,1,0
1088,26-Mar,12:25:27 PM,95,Valid,5,3,1,1
1092,26-Mar,12:26:42 PM,96,Valid,5,5,0,0
1098,26-Mar,12:29:44 PM,97,Valid,5,4,0,1
1102,26-Mar,12:32:07 PM,98,Valid,5,1,4,0
1107,26-Mar,12:36:07 PM,99,Valid,5,3,2,0
1129,26-Mar,1:45:44 PM,102,Valid,5,4,0,1
1129,26-Mar,1:45:44 PM,103,Valid,5,1,4,0
1129,26-Mar,1:45:44 PM,104,Valid,5,1,3,1
1135,26-Mar,1:48:19 PM,103,Valid,5,1,4,0
1135,26-Mar,1:48:19 PM,104,Valid,5,1,3,1
1135,26-Mar,1:48:19 PM,105,Valid,5,1,4,0
1136,26-Mar,1:51:19 PM,106,Valid,5,3,2,0
1160,26-Mar,3:25:26 PM,110,Valid,5,3,2,0
1160,26-Mar,3:25:26 PM,111,Valid,5,2,3,0
1160,26-Mar,3:25:26 PM,112,Valid,5,3,2,0
1164,26-Mar,3:29:11 PM,113,Valid,5,2,2,1
