2023-01-11  10:01:58, Stairs,,
2023-01-11  10:02:04, Stairs,in,
2023-01-11  10:03:20, Stairs,out,
2023-01-11  10:04:25, Stairs,in,
2023-01-11  10:04:29, Stairs,,
2023-01-11  10:05:25, Stairs,in,
2023-01-11  10:05:31, Stairs,,
2023-01-11  10:05:40, Stairs,in/in,"two people walk in one after the other, about 6 seconds"
2023-01-11  10:05:48, Stairs,out,
2023-01-11  10:06:12, Stairs,in,
2023-01-11  10:06:17, Stairs,,
2023-01-11  10:10:49, Stairs,in,
2023-01-11  10:21:25, Stairs,in,
2023-01-11  10:21:30, Stairs,,
2023-01-11  10:22:12, Stairs,out,
2023-01-11  10:27:48, Stairs,,
2023-01-11  10:27:49, Stairs,out/out/out/out,"four people come out of amy's lab back to back, about 8 seconds"
2023-01-11  10:29:52, Stairs,in,
2023-01-11  10:29:56, Stairs,,
2023-01-11  10:30:28, Stairs,in,
2023-01-11  10:30:32, Stairs,,
2023-01-11  10:31:49, Stairs,out,about 5 seconds
2023-01-11  10:32:38, Stairs,in,"in to amy's lab, pause by door"
2023-01-11  10:32:41, Stairs,pbin/no_event,going into the lab
2023-01-11  10:32:42, Stairs,pbin/no_event,going into the lab
2023-01-11  10:33:34, Stairs,pbin/no_event,going into the lab
2023-01-11  10:33:35, Stairs,pbin,someone else comes out of Amy's lab then walks down the hall
2023-01-11  10:33:41, Stairs,,
2023-01-11  10:35:02, Stairs,pbin,person comes back to amy's lab
2023-01-11  10:35:07, Stairs,,
2023-01-11  10:37:26, Stairs,,
2023-01-11  10:37:58, Stairs,,
2023-01-11  10:38:01, Stairs,out,
2023-01-11  10:38:08, Stairs,out/out/out/out/out/out,"6 people walk out one after the other, about 15 seconds"
2023-01-11  10:38:26, Stairs,,
2023-01-11  10:38:29, Stairs,out,
2023-01-11  10:43:02, Stairs,pbin/no_event,someone comes out of amy's lab
2023-01-11  10:43:05, Stairs,pbin/no_event,same person closes door then proceeds down the hall
2023-01-11  10:43:34, Stairs,in,
