LabelType,Recover#,TimeDiff,BSidx,BSrecord#,DateTime,PktID,Validity,Total,Ins,Outs,Passbys,gtIdx,DateTime,gtIns,gtOuts,gtPb_near,gt_Pb_far,gtlinger,gtMultiIns,gtMultiOuts,gtMultiPbs
Null,0,,,,,,,,,,,55,1900-03-14 10:55:33,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,56,1900-03-14 10:56:11,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,57,1900-03-14 10:56:42,1,0,0,0,0,0,0,0
CONFIRMED,1,2.0,10,48,1900-03-14 10:57:01,45,Valid,5,2,2,1,58,1900-03-14 10:56:59,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,59,1900-03-14 10:57:22,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,60,1900-03-14 10:57:41,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,61,1900-03-14 10:57:44,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,62,1900-03-14 10:58:28,1,0,0,0,0,0,0,0
CONFIRMED,1,2.0,11,51,1900-03-14 10:58:29,46,Valid,5,3,1,1,63,1900-03-14 10:58:27,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,64,1900-03-14 10:58:57,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,65,1900-03-14 10:59:59,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,66,1900-03-14 11:00:25,1,0,0,0,0,0,0,0
FPpkt,1,,12,57,1900-03-14 11:04:38,47,Valid,5,4,1,0,,,,,,,,,,
Null,0,,,,,,,,,,,67,1900-03-14 11:05:15,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,68,1900-03-14 11:06:58,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,69,1900-03-14 11:07:02,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,70,1900-03-14 11:10:50,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,71,1900-03-14 11:12:02,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,72,1900-03-14 11:12:38,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,73,1900-03-14 11:33:51,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,74,1900-03-14 11:34:25,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,75,1900-03-14 11:42:19,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,76,1900-03-14 11:43:34,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,77,1900-03-14 11:44:56,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,78,1900-03-14 11:45:11,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,79,1900-03-14 11:46:19,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,80,1900-03-14 11:51:56,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,81,1900-03-14 11:52:36,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,82,1900-03-14 11:55:25,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,83,1900-03-14 11:56:15,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,84,1900-03-14 11:57:44,1,0,0,0,0,0,0,0
CONFIRMED,3,1.0,15,73,1900-03-14 11:58:22,52,Valid,5,2,3,0,85,1900-03-14 11:58:21,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,86,1900-03-14 12:01:29,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,87,1900-03-14 12:01:35,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,88,1900-03-14 12:02:19,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,89,1900-03-14 12:02:20,0,1,0,0,0,0,0,0
CONFIRMED,1,-1.0,16,79,1900-03-14 12:03:41,53,Valid,5,1,4,0,90,1900-03-14 12:03:42,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,91,1900-03-14 12:04:31,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,92,1900-03-14 12:04:35,1,0,0,0,0,0,0,0
CONFIRMED,1,1.0,17,83,1900-03-14 12:07:09,54,Valid,5,3,2,0,93,1900-03-14 12:07:08,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,94,1900-03-14 12:07:44,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,95,1900-03-14 12:15:30,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,96,1900-03-14 12:15:34,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,97,1900-03-14 12:15:41,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,98,1900-03-14 12:15:42,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,99,1900-03-14 12:15:44,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,100,1900-03-14 12:15:47,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,101,1900-03-14 12:15:50,0,0,0,0,0,1,0,0
Null,0,,,,,,,,,,,102,1900-03-14 12:15:57,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,103,1900-03-14 12:16:07,0,0,0,0,0,1,0,0
Null,0,,,,,,,,,,,104,1900-03-14 12:16:26,1,0,0,0,0,0,0,0
CONFIRMED,2,2.0,19,88,1900-03-14 12:17:20,56,Valid,5,2,3,0,105,1900-03-14 12:17:18,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,106,1900-03-14 12:17:24,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,107,1900-03-14 12:18:11,0,0,0,0,0,1,0,0
Null,0,,,,,,,,,,,108,1900-03-14 12:21:24,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,109,1900-03-14 12:21:43,1,0,0,0,0,0,0,0
FPpkt,1,,20,91,1900-03-14 12:23:01,57,Valid,5,2,3,0,,,,,,,,,,
