25,12/9/22 3:23,1,1,39,39,Valid,0,12,<3,12,<3,12,<3,12,<3,12,<3,38,Valid,0,12,<3,12,<3,12,<3,12,<3,12,<3,37,Valid,2,12,<3,8,pbout,12,<3,8,pbout,12,<3
26,12/9/22 3:33,1,1,40,40,Valid,0,12,<3,12,<3,12,<3,12,<3,12,<3,39,Valid,0,12,<3,12,<3,12,<3,12,<3,12,<3,38,Valid,0,12,<3,12,<3,12,<3,12,<3,12,<3
27,12/9/22 3:43,2,1,41,41,Valid,0,12,<3,12,<3,12,<3,12,<3,12,<3,40,Valid,0,12,<3,12,<3,12,<3,12,<3,12,<3,39,Valid,0,12,<3,12,<3,12,<3,12,<3,12,<3
28,12/9/22 3:53,1,1,42,42,Valid,0,12,<3,12,<3,12,<3,12,<3,12,<3,41,Valid,0,12,<3,12,<3,12,<3,12,<3,12,<3,40,Valid,0,12,<3,12,<3,12,<3,12,<3,12,<3
29,12/9/22 4:01,1,1,43,43,Valid,2,12,<3,0,pbout,12,<3,12,<3,9,pbout,42,Valid,0,12,<3,12,<3,12,<3,12,<3,12,<3,41,Valid,0,12,<3,12,<3,12,<3,12,<3,12,<3
30,12/9/22 4:08,1,1,44,44,Valid,2,3,pbout,12,<3,12,<3,12,<3,3,pbout,43,Valid,2,12,<3,0,pbout,12,<3,12,<3,9,pbout,42,Valid,0,12,<3,12,<3,12,<3,12,<3,12,<3
31,12/9/22 4:16,1,1,45,45,Valid,1,1,pbout,12,<3,12,<3,12,<3,12,<3,44,Valid,2,3,pbout,12,<3,12,<3,12,<3,3,pbout,43,Valid,2,12,<3,0,pbout,12,<3,12,<3,9,pbout
32,12/9/22 4:26,1,1,46,46,Valid,0,12,<3,12,<3,12,<3,12,<3,12,<3,45,Valid,1,1,pbout,12,<3,12,<3,12,<3,12,<3,44,Valid,2,3,pbout,12,<3,12,<3,12,<3,3,pbout
33,12/9/22 4:36,1,1,47,47,Valid,0,12,<3,12,<3,12,<3,12,<3,12,<3,46,Valid,0,12,<3,12,<3,12,<3,12,<3,12,<3,45,Valid,1,1,pbout,12,<3,12,<3,12,<3,12,<3
34,12/9/22 4:46,1,1,48,48,Valid,0,12,<3,12,<3,12,<3,12,<3,12,<3,47,Valid,0,12,<3,12,<3,12,<3,12,<3,12,<3,46,Valid,0,12,<3,12,<3,12,<3,12,<3,12,<3
35,12/9/22 4:56,1,1,49,49,Valid,1,12,<3,12,<3,12,<3,9,pbout,12,<3,48,Valid,0,12,<3,12,<3,12,<3,12,<3,12,<3,47,Valid,0,12,<3,12,<3,12,<3,12,<3,12,<3
36,12/9/22 5:06,1,1,50,50,Valid,0,12,<3,12,<3,12,<3,12,<3,12,<3,49,Valid,1,12,<3,12,<3,12,<3,9,pbout,12,<3,48,Valid,0,12,<3,12,<3,12,<3,12,<3,12,<3
