"2022-12-09 00:01:03","1","1","16","Valid","2","12","<3","12","<3","12","<3","4","pbout","11","pbout","15","Valid","3","0","in","12","<3","4","pbout","12","<3","0","pbout","14","Valid","5","9","pbout","3","in","0","in","0","in","1","in"
"2022-12-09 00:01:13","2","1","16","Valid","2","12","<3","12","<3","12","<3","4","pbout","11","pbout","15","Valid","3","0","in","12","<3","4","pbout","12","<3","0","pbout","14","Valid","5","9","pbout","3","in","0","in","0","in","1","in"
"2022-12-09 00:07:26","1","1","17","Valid","2","12","<3","12","<3","1","pbout","12","<3","0","pbout","16","Valid","2","12","<3","12","<3","12","<3","4","pbout","11","pbout","15","Valid","3","0","in","12","<3","4","pbout","12","<3","0","pbout"
"2022-12-09 00:07:26","2","1","17","Valid","2","12","<3","12","<3","1","pbout","12","<3","0","pbout","16","Valid","2","12","<3","12","<3","12","<3","4","pbout","11","pbout","15","Valid","3","0","in","12","<3","4","pbout","12","<3","0","pbout"
"2022-12-09 00:17:27","1","1","18","Valid","0","12","<3","12","<3","12","<3","12","<3","12","<3","17","Valid","2","12","<3","12","<3","1","pbout","12","<3","0","pbout","16","Valid","2","12","<3","12","<3","12","<3","4","pbout","11","pbout"
"2022-12-09 00:17:27","2","1","18","Valid","0","12","<3","12","<3","12","<3","12","<3","12","<3","17","Valid","2","12","<3","12","<3","1","pbout","12","<3","0","pbout","16","Valid","2","12","<3","12","<3","12","<3","4","pbout","11","pbout"
"2022-12-09 00:21:18","1","1","19","Valid","5","5","out","0","in","9","out","0","in","3","out","18","Valid","0","12","<3","12","<3","12","<3","12","<3","12","<3","17","Valid","2","12","<3","12","<3","1","pbout","12","<3","0","pbout"
"2022-12-09 00:21:18","2","1","19","Valid","5","5","out","0","in","9","out","0","in","3","out","18","Valid","0","12","<3","12","<3","12","<3","12","<3","12","<3","17","Valid","2","12","<3","12","<3","1","pbout","12","<3","0","pbout"
"2022-12-09 00:29:27","1","1","20","Valid","1","0","in","12","<3","12","<3","12","<3","12","<3","19","Valid","5","5","out","0","in","9","out","0","in","3","out","18","Valid","0","12","<3","12","<3","12","<3","12","<3","12","<3"
"2022-12-09 00:29:27","2","1","20","Valid","1","0","in","12","<3","12","<3","12","<3","12","<3","19","Valid","5","5","out","0","in","9","out","0","in","3","out","18","Valid","0","12","<3","12","<3","12","<3","12","<3","12","<3"
"2022-12-09 00:39:13","1","1","21","Valid","2","12","<3","12","<3","11","pbout","12","<3","10","in","20","Valid","1","0","in","12","<3","12","<3","12","<3","12","<3","19","Valid","5","5","out","0","in","9","out","0","in","3","out"
"2022-12-09 00:39:13","0","1","21","Valid","2","12","<3","12","<3","11","pbout","12","<3","10","in","20","Valid","1","0","in","12","<3","12","<3","12","<3","12","<3","19","Valid","5","5","out","0","in","9","out","0","in","3","out"
